"model_id","wis_scaled_relative_skill","wis","ae_median_scaled_relative_skill","ae_median","interval_coverage_50","interval_coverage_95","n"
"epiENGAGE-Copycat",0.416573499328894,44.6182716049383,0.411022004518025,88.8111111111111,0.444444444444444,0.927777777777778,450
"epiENGAGE-GBQR",0.475550311733435,55.1044324503886,0.417380941591268,98.3599384520825,0.266666666666667,0.817777777777778,540
"epiENGAGE-INFLAenza",0.477124791118115,61.0676280615293,0.369211556211654,111.094086021505,0.701612903225806,0.978494623655914,432
"epiENGAGE-baseline",1,164.01018806847,1,305.84,0.244444444444444,0.877777777777778,540
"epiENGAGE-ensemble_mean",0.430590353395584,35.0006953235876,0.434309678846682,68.8516601363276,0.533333333333333,0.983333333333333,336
"epiENGAGE-lop_norm",0.443954080627227,36.0551853153993,0.44912131283598,71.064537990788,0.51,0.993333333333333,336
"epiforecasts-dyngam",0.458317676293674,40.2257984006734,0.457874083224388,78.9212121212121,0.645454545454546,0.987878787878788,420
