"model_id","wis","ae_median","interval_coverage_50","interval_coverage_95","n"
"epiENGAGE-Copycat",0.248495248716061,0.407056014347121,0.876,1,325
"epiENGAGE-GBQR",0.307976433043707,0.500564231293778,0.181818181818182,0.774545454545455,350
"epiENGAGE-INFLAenza",0.226830214719621,0.460865776014533,0.630434782608696,1,280
"epiENGAGE-baseline",0.772585124942403,1.35694285714286,0.405714285714286,0.9,425
"epiENGAGE-ensemble_mean",0.185420882616189,0.320752663793208,0.690909090909091,0.956363636363636,310
"epiENGAGE-lop_norm",0.189498597484091,0.316447426335484,0.629090909090909,0.974545454545454,310
"epiforecasts-dyngam",0.181112534005009,0.318508496721311,0.718032786885246,1,410
