"model_id","horizon","wis_scaled_relative_skill","wis","ae_median_scaled_relative_skill","ae_median","interval_coverage_50","interval_coverage_95","n"
"epiENGAGE-Copycat",0,0.664736381192878,34.3517857142857,0.701131137813027,70.9523809523809,0.392857142857143,0.904761904761905,90
"epiENGAGE-Copycat",1,0.512060445267735,46.9222934472934,0.571959540274508,98.474358974359,0.41025641025641,0.871794871794872,90
"epiENGAGE-Copycat",2,0.408401284239033,49.5587191358025,0.427846424687966,101.013888888889,0.388888888888889,0.930555555555556,90
"epiENGAGE-Copycat",3,0.342020188125004,48.0142255892256,0.324777734311867,93.8333333333333,0.5,0.96969696969697,90
"epiENGAGE-Copycat",4,0.306852055363894,46.332037037037,0.231831269972544,81.0833333333333,0.566666666666667,0.983333333333333,90
"epiENGAGE-GBQR",0,0.6367942864082,33.2846264281221,0.645665696100162,66.8758298283206,0.333333333333333,0.911764705882353,108
"epiENGAGE-GBQR",1,0.487638273843147,42.0007222800947,0.518906489601217,90.8023803379704,0.260416666666667,0.90625,108
"epiENGAGE-GBQR",2,0.447286340237908,53.0578649975586,0.411353823358064,97.9560119975663,0.211111111111111,0.811111111111111,108
"epiENGAGE-GBQR",3,0.455162651538815,70.2182289504064,0.367412466473097,116.441089815129,0.238095238095238,0.738095238095238,108
"epiENGAGE-GBQR",4,0.466232429075291,85.8506959808068,0.31743311865865,129.827134926301,0.282051282051282,0.67948717948718,108
"epiENGAGE-INFLAenza",0,0.822239234659231,49.1461097494553,0.737797994065007,86.656862745098,0.696078431372549,0.980392156862745,108
"epiENGAGE-INFLAenza",1,0.558683717608688,58.3752387152778,0.46528900665148,104.078125,0.729166666666667,0.979166666666667,108
"epiENGAGE-INFLAenza",2,0.444017913376984,66.6590447530864,0.331980090122134,122.005555555556,0.722222222222222,0.977777777777778,108
"epiENGAGE-INFLAenza",3,0.374993174805024,72.6299702380952,0.270978715390837,137.095238095238,0.654761904761905,0.976190476190476,108
"epiENGAGE-baseline",0,1,60.5624472293644,1,115.980392156863,0.303921568627451,0.980392156862745,108
"epiENGAGE-baseline",1,1,113.454574070598,1,216.979166666667,0.322916666666667,0.916666666666667,108
"epiENGAGE-baseline",2,1,172.18995679553,1,320.033333333333,0.233333333333333,0.855555555555556,108
"epiENGAGE-baseline",3,1,230.682838382364,1,423.988095238095,0.19047619047619,0.821428571428571,108
"epiENGAGE-baseline",4,1,280.270786755417,1,519.871794871795,0.141025641025641,0.782051282051282,108
"epiENGAGE-ensemble_mean",0,0.672146404601495,26.7191066911864,0.703717036245349,53.6342673387719,0.527777777777778,1,72
"epiENGAGE-ensemble_mean",1,0.506394476344172,32.1661963522769,0.551033020968726,65.9053349116326,0.560606060606061,0.984848484848485,72
"epiENGAGE-ensemble_mean",2,0.418132619878236,35.4437817084872,0.421822101728069,66.5258076507157,0.566666666666667,0.983333333333333,72
"epiENGAGE-ensemble_mean",3,0.366168671077154,40.3261120770174,0.368752347220861,78.1341366134547,0.555555555555556,0.962962962962963,72
"epiENGAGE-ensemble_mean",4,0.342505978852976,44.7755625290086,0.30542981032062,88.1934760868635,0.4375,0.979166666666667,48
"epiENGAGE-lop_norm",0,0.688702732789182,27.3772524407324,0.708846547509456,54.0252164906132,0.513888888888889,1,72
"epiENGAGE-lop_norm",1,0.523738999249533,33.2679211053551,0.572200562596901,68.4370414830615,0.53030303030303,0.984848484848485,72
"epiENGAGE-lop_norm",2,0.437660632484272,37.0991096669002,0.457512777910717,72.1546048354147,0.533333333333333,1,72
"epiENGAGE-lop_norm",3,0.380529378479423,41.9076550705935,0.388146835668394,82.2435927873026,0.518518518518518,1,72
"epiENGAGE-lop_norm",4,0.344342418705871,45.0156390022411,0.298863039567994,86.2973077373116,0.4375,0.979166666666667,48
"epiforecasts-dyngam",0,0.665607269590882,29.0951958689459,0.709434917645011,60.4807692307692,0.628205128205128,0.987179487179487,84
"epiforecasts-dyngam",1,0.528005298253255,37.0903722993827,0.607413033080641,82.0555555555556,0.597222222222222,1,84
"epiforecasts-dyngam",2,0.45391335547865,42.4767108585859,0.486038873095677,88.0530303030303,0.651515151515151,0.984848484848485,84
"epiforecasts-dyngam",3,0.402571342128913,46.5452060185185,0.387709532440492,85.9416666666667,0.683333333333333,0.983333333333333,84
"epiforecasts-dyngam",4,0.374844771549839,50.7112242798354,0.283366215998033,82.4166666666667,0.685185185185185,0.981481481481482,84
