"model_id","wis_scaled_relative_skill","wis","ae_median_scaled_relative_skill","ae_median","interval_coverage_50","interval_coverage_95","n"
"epiENGAGE-Copycat",0.549939699368569,24.5118518518519,0.670846394984326,49.9333333333333,0.433333333333333,0.866666666666667,150
"epiENGAGE-GBQR",0.581312184138539,25.9101827957516,0.701268966894802,52.1977867692031,0.316666666666667,0.833333333333333,150
"epiENGAGE-INFLAenza",0.685238029747478,30.5423541666667,0.697716077026422,51.9333333333333,0.616666666666667,0.9,120
"epiENGAGE-baseline",1,44.5718901181274,1,74.4333333333333,0.583333333333333,1,150
"epiENGAGE-ensemble_mean",0.579212085485598,25.8165774293555,0.666449724978322,49.6060745292198,0.483333333333333,0.966666666666667,120
"epiENGAGE-lop_norm",0.581624504223004,25.924103492238,0.67584068693542,50.3050751308931,0.466666666666667,0.983333333333333,120
"epiforecasts-dyngam",0.57582853533208,25.6657662037037,0.690103000447828,51.3666666666667,0.633333333333333,0.983333333333333,150
