"model_id","location","wis_scaled_relative_skill","wis","ae_median_scaled_relative_skill","ae_median","interval_coverage_50","interval_coverage_95","n"
"epiENGAGE-Copycat","Bronx",0.412144348757208,38.4736363636364,0.422830410190087,77.5636363636364,0.454545454545455,0.945454545454545,70
"epiENGAGE-Copycat","Brooklyn",0.44116203082409,43.2761616161616,0.429605884792687,88.0363636363636,0.4,0.927272727272727,70
"epiENGAGE-Copycat","Manhattan",0.417280295154695,20.2692929292929,0.415881612808374,41.6727272727273,0.472727272727273,0.963636363636364,70
"epiENGAGE-Copycat","NYC",0.371952342386519,128.670202020202,0.355412559527343,252.454545454545,0.509090909090909,0.963636363636364,70
"epiENGAGE-Copycat","Queens",0.475830912173987,38.9513131313131,0.458458919014238,77.6909090909091,0.436363636363636,0.909090909090909,70
"epiENGAGE-Copycat","Staten Island",0.607955900195008,6.10171717171717,0.588881915265856,12.6363636363636,0.381818181818182,0.909090909090909,70
"epiENGAGE-GBQR","Bronx",0.493135670138514,47.3327130271169,0.439766053970336,86.2194631558873,0.342857142857143,0.757142857142857,85
"epiENGAGE-GBQR","Brooklyn",0.396665687764702,43.9506767442688,0.390151812233736,88.2619097045208,0.242857142857143,0.957142857142857,85
"epiENGAGE-GBQR","Manhattan",0.420299731176148,21.976293849608,0.410821807292223,42.7911924780797,0.228571428571429,0.914285714285714,85
"epiENGAGE-GBQR","NYC",0.458482405700667,159.368511488333,0.377752436184111,274.302025022429,0.242857142857143,0.842857142857143,85
"epiENGAGE-GBQR","Queens",0.625955085719621,62.6146230905002,0.497690487786509,105.161589000207,0.2,0.742857142857143,85
"epiENGAGE-GBQR","Staten Island",0.710829939634454,7.86432631890511,0.518502122786679,12.7734963525935,0.314285714285714,0.714285714285714,85
"epiENGAGE-INFLAenza","Bronx",0.417300544898397,42.701714559387,0.259045573452234,63.0948275862069,0.879310344827586,1,68
"epiENGAGE-INFLAenza","Brooklyn",0.426217907651831,47.0243079501916,0.328050633071957,74.7586206896552,0.844827586206897,1,68
"epiENGAGE-INFLAenza","Manhattan",0.478418124516374,26.0338457854406,0.308107193400559,41.8189655172414,0.844827586206897,1,68
"epiENGAGE-INFLAenza","NYC",0.423446228891503,175.3999401341,0.283197737324632,309.896551724138,0.827586206896552,1,68
"epiENGAGE-INFLAenza","Queens",0.730805434195619,78.5351125478927,0.72737329811647,180.98275862069,0.448275862068966,1,68
"epiENGAGE-INFLAenza","Staten Island",0.742512207179249,8.55135057471264,0.712504838833714,18.2586206896552,0.413793103448276,0.931034482758621,68
"epiENGAGE-baseline","Bronx",1,145.723749660375,1,259.285714285714,0.2,0.814285714285714,80
"epiENGAGE-baseline","Brooklyn",1,158.30369338386,1,291.785714285714,0.114285714285714,0.828571428571429,80
"epiENGAGE-baseline","Manhattan",1,72.8332893031921,1,135.571428571429,0.285714285714286,0.842857142857143,80
"epiENGAGE-baseline","NYC",1,520.641202482244,1,976.928571428571,0.114285714285714,0.842857142857143,80
"epiENGAGE-baseline","Queens",1,121.004232424885,1,242.742857142857,0.2,0.928571428571429,80
"epiENGAGE-baseline","Staten Island",1,13.6424117887729,1,29.3285714285714,0.328571428571429,0.957142857142857,80
"epiENGAGE-ensemble_mean","Bronx",0.4233428372601,27.8719820131472,0.434503245970178,53.8272720461288,0.488888888888889,1,56
"epiENGAGE-ensemble_mean","Brooklyn",0.426179709700709,34.0519115778895,0.410780883562223,69.6889567897183,0.6,1,56
"epiENGAGE-ensemble_mean","Manhattan",0.447852754915563,15.3991180576177,0.416573743629835,27.8071864988527,0.688888888888889,1,56
"epiENGAGE-ensemble_mean","NYC",0.390254355342996,98.1109544760093,0.413520264116112,200.755260999724,0.533333333333333,1,56
"epiENGAGE-ensemble_mean","Queens",0.519684668912075,32.53577867397,0.495171901883625,63.1476455327481,0.555555555555556,1,56
"epiENGAGE-ensemble_mean","Staten Island",0.575956004691431,5.8096811109944,0.559223324056283,12.00542504182,0.333333333333333,0.911111111111111,56
"epiENGAGE-lop_norm","Bronx",0.444665394058912,29.2485559591586,0.463315913631407,57.1907516968211,0.488888888888889,1,56
"epiENGAGE-lop_norm","Brooklyn",0.440599347076963,35.1782709386952,0.403974597229924,68.3980442567521,0.577777777777778,1,56
"epiENGAGE-lop_norm","Manhattan",0.46426445320847,15.9514595259945,0.428900401934392,28.5348701695846,0.644444444444444,1,56
"epiENGAGE-lop_norm","NYC",0.402409945319009,101.040136513383,0.437653179832151,211.913496772744,0.488888888888889,1,56
"epiENGAGE-lop_norm","Queens",0.535510987222376,33.527257268505,0.499064925238094,63.8504849583652,0.511111111111111,1,56
"epiENGAGE-lop_norm","Staten Island",0.579244908385657,5.83884778737878,0.54903063313468,11.7884151492476,0.355555555555556,0.955555555555556,56
"epiforecasts-dyngam","Bronx",0.490641170498546,35.4524555555556,0.456497339388017,64.11,0.7,1,65
"epiforecasts-dyngam","Brooklyn",0.495839696328351,41.8916972222222,0.422388954338441,74.87,0.7,1,65
"epiforecasts-dyngam","Manhattan",0.529701163053678,20.1160527777778,0.424250589941502,32.35,0.8,1,65
"epiforecasts-dyngam","NYC",0.39104297381934,108.059833333333,0.455154494980957,244.05,0.38,1,65
"epiforecasts-dyngam","Queens",0.540430047141293,36.0069444444444,0.459538967286293,62.43,0.7,1,65
"epiforecasts-dyngam","Staten Island",0.550219779945933,5.51424166666667,0.455854153299428,9.65,0.64,0.94,65
