"model_id","horizon","wis_scaled_relative_skill","wis","ae_median_scaled_relative_skill","ae_median","interval_coverage_50","interval_coverage_95","n"
"epiENGAGE-Copycat",0,0.847452638202834,27.2724537037037,0.814046822742475,50.7083333333333,0.375,0.791666666666667,30
"epiENGAGE-Copycat",1,0.508270069803618,23.9253086419753,0.63506139154161,51.7222222222222,0.388888888888889,0.833333333333333,30
"epiENGAGE-Copycat",2,0.346937330134741,19.9949074074074,0.441176470588235,42.5,0.583333333333333,1,30
"epiENGAGE-Copycat",3,0.400969107057413,24.262962962963,0.968481375358166,56.3333333333333,0.5,1,30
"epiENGAGE-GBQR",0,0.860047413530793,27.6777747937044,0.861757575952235,53.6803156686913,0.25,0.791666666666667,30
"epiENGAGE-GBQR",1,0.544360558433807,25.6241615369541,0.694851458037792,56.5917909713002,0.333333333333333,0.888888888888889,30
"epiENGAGE-GBQR",2,0.485536153424164,27.9827207608202,0.568180734710877,54.7347441104812,0.333333333333333,0.833333333333333,30
"epiENGAGE-GBQR",3,0.257025219896209,15.5528026501957,0.481577258723261,28.011743882403,0.5,0.833333333333333,30
"epiENGAGE-INFLAenza",0,0.860649197126239,27.6971412037037,0.815384615384615,50.7916666666667,0.541666666666667,0.916666666666667,30
"epiENGAGE-INFLAenza",1,0.677110800030485,31.8729861111111,0.75,61.0833333333333,0.555555555555556,0.888888888888889,30
"epiENGAGE-INFLAenza",2,0.569756543125182,32.8365625,0.508650519031142,49,0.75,0.916666666666667,30
"epiENGAGE-INFLAenza",3,0.551023807819312,33.3428935185185,0.600286532951289,34.9166666666667,0.833333333333333,0.833333333333333,30
"epiENGAGE-baseline",0,1,32.1816848213955,1,62.2916666666667,0.416666666666667,1,30
"epiENGAGE-baseline",1,1,47.0720391842459,1,81.4444444444444,0.611111111111111,1,30
"epiENGAGE-baseline",2,1,57.6326202765265,1,96.3333333333333,0.666666666666667,1,30
"epiENGAGE-baseline",3,1,60.510803789901,1,58.1666666666667,1,1,30
"epiENGAGE-ensemble_mean",0,0.780596547394851,25.1209120609306,0.832071606992343,51.8311271855647,0.416666666666667,1,30
"epiENGAGE-ensemble_mean",1,0.57871626011442,27.2413544726662,0.694871587399243,56.5934303959605,0.5,0.944444444444444,30
"epiENGAGE-ensemble_mean",2,0.456692089403114,26.3203617718631,0.424681434273282,40.9109781683262,0.583333333333333,1,30
"epiENGAGE-ensemble_mean",3,0.385341751021314,23.3173390881076,0.638406688115841,37.1339890254047,0.5,0.833333333333333,30
"epiENGAGE-lop_norm",0,0.781501944133013,25.1500492533964,0.848954550276268,52.8827938609592,0.375,1,30
"epiENGAGE-lop_norm",1,0.572424422271647,26.9451848351903,0.678560004574333,55.2649425947762,0.5,0.944444444444444,30
"epiENGAGE-lop_norm",2,0.471956375243812,27.2000825615125,0.475345603928531,45.7916265117818,0.583333333333333,1,30
"epiENGAGE-lop_norm",3,0.386792387710851,23.4051182801986,0.586959800410342,34.1414950572016,0.5,1,30
"epiforecasts-dyngam",0,0.778832545829143,25.0641435185185,0.797324414715719,49.6666666666667,0.583333333333333,0.958333333333333,30
"epiforecasts-dyngam",1,0.52690662810175,24.8025694444444,0.639495225102319,52.0833333333333,0.666666666666667,1,30
"epiforecasts-dyngam",2,0.472300763438343,27.2199305555556,0.571799307958478,55.0833333333333,0.666666666666667,1,30
"epiforecasts-dyngam",3,0.455348744237258,27.5535185185185,0.835243553008596,48.5833333333333,0.666666666666667,1,30
